index,question,sentence
2395,"Along with English and mathematics, what subject replaced values education for fourth year students?","Government regulations have given private education more flexibility and autonomy in recent years, notably by lifting the moratorium on applications for new courses, new schools and conversions, by liberalizing tuition fee policy for private schools, by replacing values education for third and fourth years with English, mathematics and natural science at the option of the school, and by issuing the revised Manual of Regulations for Private Schools in August 1992."
4033,How are existing teachers and non-teachers vetted?,Existing staff will be vetted on a phased basis.
5091,What streets are contraflows to be implemented on in Newcastle?,The authority also has infrastructure aims and objectives which include: developing on road cycle networks on quieter streets; making safer routes on busier streets; innovating and implementing contraflows on one way streets; developing the existing off road cycle route networks and improve signage; joining up routes that are partially or completely isolated; Increase the number of cycle parking facilities; working with employers to integrate cycling into workplace travel plans; link the local networks to national networks.
1426,What types of teachers are retiring the most?,"Many counties offer alternative licensing programs to attract people into teaching, especially for hard-to-fill positions."
1253,What is the name of matters outside the legislative ability of the Scottish Parliament?,"The Scottish Parliament is unable to legislate on such issues that are reserved to, and dealt with at, Westminster (and where Ministerial functions usually lie with UK Government ministers)."
4311,What year marked the lowest ratings for the drama Lost?,The network began running into some trouble in the ratings by 2010.
697,What was Warner Sinback,Warner was right.)
1704,What slogan accompanied the 40th anniversary logo for ABC?,"Ten years later, in 1993, the ""ABC Circle"" logo reverted to its classic white-on-black color scheme, but with gloss effects on both the circle and the letters, and a bronze border surrounding the circle."
3618,Where did he claim he would transport energy to?,"Upon his arrival, he told reporters that he was conducting wireless telegraphy experiments, transmitting signals from Pikes Peak to Paris.[citation needed]"
3754,Why was ABC forced to sell its interests in international networks in the 70s?,The arrival of satellite television ended the need for ABC to hold interests in other countries; many governments also wanted to increase their independence and strengthen legislation to limit foreign ownership of broadcasting properties.
1961,When did ABC begin making family-oriented series?,"The Flintstones allowed ABC to present a novelty, that of prime-time animated programming, but it also allowed the network to begin filling the hole opened by the conclusion of the Disney partnership by carrying family-oriented programming from other producers."
659,What town is surrounded by Jacksonville?,"Nassau County lies to the north, Baker County lies to the west, and Clay and St. Johns County lie to the south; the Atlantic Ocean lies to the east, along with the Jacksonville Beaches."
4357,Which group has young that are born with no tentacles and a large mouth?,"The young are generally planktonic and in most species look like miniature cydippids, gradually changing into their adult shapes as they grow."
3088,Which president ended the Emergency Energy Conservation Act?,"On November 28, 1995, Bill Clinton signed the National Highway Designation Act, ending the federal 55 mph (89 km/h) speed limit, allowing states to restore their prior maximum speed limit."
3086,What is the name of the supposition that any number larger than 2 can be represented as the sum of two primes?,"Many questions regarding prime numbers remain open, such as Goldbach's conjecture (that every even integer greater than 2 can be expressed as the sum of two primes), and the twin prime conjecture (that there are infinitely many pairs of primes whose difference is 2)."
4974,Of what does the covalent double bond result from ?,"The bond can be variously described based on level of theory, but is reasonably and simply described as a covalent double bond that results from the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms, the filling of which results in a bond order of two."
3459,How many times did plague occur in Venice?,"The Black Death ravaged Europe for three years before it continued on into Russia, where the disease was present somewhere in the country 25 times between 1350 to 1490."
3712,What enables the Scottish Parliament to scrutinize the government?,Several procedures enable the Scottish Parliament to scrutinise the Government.
4526,When was Levi's Stadium picked for Super bowl 50?,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium."
3991,What are the top 4-5% graduating students honored with?,"Students graduating in the top 4–5% of the class are awarded degrees summa cum laude, students in the next 15% of the class are awarded magna cum laude, and the next 30% of the class are awarded cum laude."
3551,Who was Margaret's husband?,"Malcolm submitted, paid homage to William and surrendered his son Duncan as a hostage, beginning a series of arguments as to whether the Scottish Crown owed allegiance to the King of England."
3817,What goal does Islamism have when it comes to society and government?,Islamism favors the reordering of government and society in accordance with the Shari'a.
3725,What is a typical name for learning that is not inside of the classroom?,"Many times, teachers assist in learning outside of the classroom by accompanying students on field trips."
3589,Which university did Tesla audit in 1880?,"Unfortunately, he arrived too late to enroll at Charles-Ferdinand University; he never studied Greek, a required subject; and he was illiterate in Czech, another required subject."
728,What is the most rainfall recorded in a 24 hour period in Fresno?,"The most rainfall in one month was 9.54 inches (242.3 mm) in November 1885 and the most rainfall in 24 hours 3.55 inches (90.2 mm) on November 18, 1885."
1383,In what direction does the mountain system extend?,The Alps are part of the Great Dividing Range mountain system extending east-west through the centre of Victoria.
3793,What did Thoreau claim about the majority?,The majority may be powerful but it is not necessarily right.
4748,Which authority figure is designated to schedule and set the work of the EU?,"Under article 17(2), ""Union legislative acts may only be adopted on the basis of a Commission proposal, except where the Treaties provide otherwise."
4306,What is a ctenophora?,"Ctenophora (/tᵻˈnɒfərə/; singular ctenophore, /ˈtɛnəfɔːr/ or /ˈtiːnəfɔːr/; from the Greek κτείς kteis 'comb' and φέρω pherō 'carry'; commonly known as comb jellies) is a phylum of animals that live in marine waters worldwide."
1200,What Universal trailer debuted during the Super Bowl?,"20th Century Fox, Lionsgate, Paramount Pictures, Universal Studios and Walt Disney Studios paid for movie trailers to be aired during the Super Bowl."
5056,What is the name of the longest bridge in Germany?,One of the most important cities in this region is Duisburg with the largest river port in Europe (Duisport).
5402,Who succeeded Thomas Murphy as president in 1990?,"Lasting nine seasons, its success led ABC to greenlight additional sitcom projects helmed by comedians during the 1990s including The Drew Carey Show; Brett Butler vehicle Grace Under Fire; and Ellen, which became notable for a 1997 episode which served as the coming out of series star Ellen DeGeneres (as well as her character in the series) as a lesbian."
4618,what did tesla note the hazards of working with?,Tesla noted the hazards of working with his circuit and single-node X-ray-producing devices.
839,How many granal thylakoids can be in each granum?,"The helicoids may extend as large sheets that link multiple grana, or narrow to tube-like bridges between grana."
4042,Which successor to Henry resumed persecution of the Huguenots?,"The uprising occurred a decade following the death of Henry IV, a Huguenot before converting to Catholicism, who had protected Protestants through the Edict of Nantes."
4625,What show did Peter Jennings anchor for ABC?,"ABC also owns the Times Square Studios at 1500 Broadway on land in Times Square owned by a development fund for the 42nd Street Project; opened in 1999, Good Morning America and Nightline are broadcast from this particular facility."
680,Who started the IPCC Trust Fund?,"The IPCC receives funding through the IPCC Trust Fund, established in 1989 by the United Nations Environment Programme (UNEP) and the World Meteorological Organization (WMO), Costs of the Secretary and of housing the secretariat are provided by the WMO, while UNEP meets the cost of the Depute Secretary."
475,How are cyanobacteria sometimes wrongly described?,They are sometimes called blue-green algae even though they are prokaryotes.
4276,What type of microscope is used by petrologists?,Two of the primary methods for identifying rocks in the laboratory are through optical microscopy and by using an electron microprobe.
3314,What Denver player caught the ball 76 times in the 2015 season?,"Veteran receiver Demaryius Thomas led the team with 105 receptions for 1,304 yards and six touchdowns, while Emmanuel Sanders caught 76 passes for 1,135 yards and six scores, while adding another 106 yards returning punts."
3267,When was the Battle of Hastings?,"In 1066, Duke William II of Normandy conquered England killing King Harold II at the Battle of Hastings."
415,How many Panthers players were selected to the Pro Bowl?,"Despite waiving longtime running back DeAngelo Williams and losing top wide receiver Kelvin Benjamin to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise history, becoming the seventh team to win at least 15 regular season games since the league expanded to a 16-game schedule in 1978."
1983,Who was Tesla's main influence in Karlovac?,"Tesla was able to perform integral calculus in his head, which prompted his teachers to believe that he was cheating."
1592,When did the Fourth Doctor appear on CD?,Tom Baker's Fourth Doctor began appearing for Big Finish in 2012.
4513,What music did the fourth soundtrack feature?,"The first featured tracks from the first two series, the second and third featured music from the third and fourth series respectively."
1056,Why are people who distribute leaflets inside courthouses not been arrested?,"The necessity defense has sometimes been used as a shadow defense by civil disobedients to deny guilt without denouncing their politically motivated acts, and to present their political beliefs in the courtroom."
5164,What do C4 plants need?,"Normally, the reenergized electrons are taken by NADP+, though sometimes they can flow back down more H+-pumping electron transport chains to transport more hydrogen ions into the thylakoid space to generate more ATP."
4070,What term resulted from Dioscorides' book?,The Greek physician Pedanius Dioscorides is famous for writing a five volume book in his native Greek Περί ύλης ιατρικής in the 1st century AD.
289,What is Kenya doing to determine if there are more reserves?,Exploration is still continuing to determine if there are more reserves.
1768,How many seconds were left in the game when the Broncos intercepted the pass that won the game?,"Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games."
4712,Since what year has the UMC been exploring a possible merger with three historically African-American denominations?,A Commission on Pan Methodist Cooperation and Union formed in 2000 to carry out work on such a merger.
1347,Who wrote the poem The Mark of Anarchy?,"The Mask of Anarchy later that year, that begins with the images of what he thought to be the unjust forms of authority of his time—and then imagines the stirrings of a new form of social action."
3535,Who helped Temüjin rescue his wife from the Merkits?,"Temüjin rescued her with the help of his friend and future rival, Jamukha, and his protector, Toghrul Khan of the Keraite tribe."
321,When did the KMJ-TV first broadcast?,"The very first Fresno television station to begin broadcasting was KMJ-TV, which debuted on June 1, 1953."
4630,What is the name of the team from USC?,"I in the Pac-12 Conference, and there is a longtime rivalry between the schools."
4266,What is the name of Sky Q's broadband router?,The Sky Q Mini set top boxes connect to the Sky Q Silver set top boxes with a Wi-Fi or Power-line connection rather than receive their own satellite feeds.
2623,What is the search feature on the V&A website called?,"most of the items in the collection, unless those were newly accessioned into the collection, probably do not show up in the computer system."
2899,Which series were featured on the first Doctor Who soundtrack?,The fourth was released on 4 October 2010 as a two disc special edition and contained music from the 2008–2010 specials (The Next Doctor to End of Time Part 2).
1851,How early did Luther say he had to awaken every day?,"He was made to wake at four every morning for what has been described as ""a day of rote learning and often wearying spiritual exercises."""
3020,Who did the NIF regime harbor prior to 9/11?,"The NIF regime also harbored Osama bin Laden for a time (before 9/11), and worked to unify Islamist opposition to the American attack on Iraq in the 1991 Gulf War."
145,How much of the population of Earth ended up seeing the images of the Earth and the Moon?,An estimated one-quarter of the population of the world saw—either live or delayed—the Christmas Eve transmission during the ninth orbit of the Moon.
305,In Sept 1760 who negotiated a capitulation from Montreal?,The British provided medical treatment for the sick and wounded French soldiers and French regular troops were returned to France aboard British ships with an agreement that they were not to serve again in the present war.
3750,The Muslim Brotherhood's competence compares well against what type of local governments?,"Islamist movements such as the Muslim Brotherhood, ""are well known for providing shelters, educational assistance, free or low cost medical clinics, housing assistance to students from out of town, student advisory groups, facilitation of inexpensive mass marriage ceremonies to avoid prohibitively costly dowry demands, legal assistance, sports facilities, and women's groups."
481,What trend increases the organic composition of capital over the long term?,"Over the long-term, this trend increases the organic composition of capital, meaning that less workers are required in proportion to capital inputs, increasing unemployment (the ""reserve army of labour"")."
2888,What is the name of the region that is not defined by the eight or 10 county definitions?,"The 8- and 10-county definitions are not used for the greater Southern California Megaregion, one of the 11 megaregions of the United States."
1031,What type of shadow does the North Pennines cast?,"The climate in Newcastle is oceanic (Köppen Cfb) and significantly milder than some other locations in the world at a similar latitude, due to the warming influence of the Gulf Stream (via the North Atlantic Drift)."
709,Intractable problems lacking polynomial time solutions necessarily negate the practical efficacy of what type of algorithm?,"To see why exponential-time algorithms might be unusable in practice, consider a program that makes 2n operations before halting."
1220,What are engines using four expansion stages known as?,Such engines use either three or four expansion stages and are known as triple and quadruple expansion engines respectively.
1954,What country's schools have codes of behavior that are very strict?,"Although, officially, schools have extremely rigid codes of behavior, in practice many teachers find the students unmanageable and do not enforce discipline at all."
2893,What European event caused the Huguenots to abandon Charlesfort?,"The Wars of Religion precluded a return voyage, and the outpost was abandoned."
735,How long was he bedridden with cholera?,"Shortly after he arrived, Tesla contracted cholera; he was bedridden for nine months and was near death multiple times."
516,What name was given to the western half of the colony?,"They had been sent from England in HMS Calcutta under the command of Captain Daniel Woodriff, principally out of fear that the French, who had been exploring the area, might establish their own settlement and thereby challenge British rights to the continent."
4996,How many yards did the Carolina Panthers gain in the 487 in the NFC Championship Game?,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination from a year earlier."
1821,Which noble helped establish the Huguenot settlement in Saarland?,"Prince Louis de Condé, along with his sons Daniel and Osias,[citation needed] arranged with Count Ludwig von Nassau-Saarbrücken to establish a Huguenot community in present-day Saarland in 1604."
3541,What did Luther add to his catechisms?,"The catechisms provided easy-to-understand instructional and devotional material on the Ten Commandments, the Apostles' Creed, the Lord's Prayer, baptism, and the Lord's Supper."
2827,"In South Africa, along with privately governed schools, what schools are classified as independent?","The South African Schools Act of 1996 recognises two categories of schools: ""public"" (state-controlled) and ""independent"" (which includes traditional private schools and schools which are privately governed[clarification needed].)"
3175,What device was one of the first to aid a controversy?,"Within two weeks, copies of the theses had spread throughout Germany; within two months, they had spread throughout Europe."
3692,After what battle did Union forces return to and occupy Jacksonville for the rest of the war?,In February 1864 Union forces left Jacksonville and confronted a Confederate Army at the Battle of Olustee resulting in a Confederate victory.
2110,When a pathogen has been eaten by a phagocyte it becomes trapped in what vesicle?,"Once a pathogen has been engulfed by a phagocyte, it becomes trapped in an intracellular vesicle called a phagosome, which subsequently fuses with another vesicle called a lysosome to form a phagolysosome."
135,Who kidnapped Temüjin's first wife soon after they were married?,"Soon after Börte's marriage to Temüjin, she was kidnapped by the Merkits and reportedly given away as a wife."
2381,Who first fully explained the origins of magnetic and electric fields?,"The origin of electric and magnetic fields would not be fully explained until 1864 when James Clerk Maxwell unified a number of earlier theories into a set of 20 scalar equations, which were later reformulated into 4 vector equations by Oliver Heaviside and Josiah Willard Gibbs."
1272,"After 1945, what challenged the French empire?","Whereas they won the war in Algeria, the French leader at the time, Charles de Gaulle, decided to grant Algeria independence anyway in 1962."
5460,How many square kilometers is the Amazon Basin?,"This basin encompasses 7,000,000 square kilometres (2,700,000 sq mi), of which 5,500,000 square kilometres (2,100,000 sq mi) are covered by the rainforest."
4116,What type of manufacturing plant is Victoria soon losing?,"Historically, Victoria has been the base for the manufacturing plants of the major car brands Ford, Toyota and Holden; however, closure announcements by all three companies in the 21st century will mean that Australia will no longer be a base for the global car industry, with Toyota's statement in February 2014 outlining a closure year of 2017."
2054,Which musical genre did the progressive folk-rock band Gryphon presented at a concert/lecture at the V&A?,"In July 1973, as part of its outreach programme to young people, the V&A became the first museum in Britain to present a rock concert."
626,Which of Genghis Khan's sons completed the conquest of the Jin dynasty?,"In 1211, after the conquest of Western Xia, Genghis Khan planned again to conquer the Jin dynasty."
2272,What damaged the color TV camera that Apollo 12 had taken into space?,"carried the first lunar surface color television camera, but it was damaged when accidentally pointed into the Sun."
1290,How many stations did ABC have affiliation agreements with in 2015?,"As of March 2015[update], ABC has eight owned-and-operated stations, and current and pending affiliation agreements with 235 additional television stations encompassing 49 states, the District of Columbia, four U.S. possessions, Bermuda and Saba; this makes ABC the largest U.S. broadcast television network by total number of affiliates."
2930,How many buildings were razed by the Jacksonville fire?,"On May 3, 1901, downtown Jacksonville was ravaged by a fire that started as a kitchen fire."
2809,In which year was the Salting Bequest?,"The V&A holds over 19,000 items from the Islamic world, ranging from the early Islamic period (the 7th century) to the early 20th century."
828,What was the topic of the error?,"Martin Parry, a climate expert who had been co-chair of the IPCC working group II, said that ""What began with a single unfortunate error over Himalayan glaciers has become a clamour without substance"" and the IPCC had investigated the other alleged mistakes, which were ""generally unfounded and also marginal to the assessment""."
5162,In what part of the city did residents suffer from a lack of city services?,"In addition, residents in unincorporated suburbs had difficulty obtaining municipal services, such as sewage and building code enforcement."
4773,Where does the Rhine empty?,"Rhein, French: le Rhin, Dutch: Rijn) is a European river that begins in the Swiss canton of Graubünden in the southeastern Swiss Alps, forms part of the Swiss-Austrian, Swiss-Liechtenstein border, Swiss-German and then the Franco-German border, then flows through the Rhineland and eventually empties into the North Sea in the Netherlands."
1759,Where does the Rhine begin?,"The river length is significantly shortened from the river's natural course due to number of canalisation projects completed in the 19th and 20th century.[note 7] The ""total length of the Rhine"", to the inclusion of Lake Constance and the Alpine Rhine is more difficult to measure objectively; it was cited as 1,232 kilometres (766 miles) by the Dutch Rijkswaterstaat in 2010.[note 1]"
703,How many US presidents are alumni of the school?,"The nominal cost of attendance is high, but the University's large endowment allows it to offer generous financial aid packages."
4948,How much did Levi's Stadium cost?,The $1.2 billion stadium opened in 2014.
4018,Who performed the funeral for Martin Luther?,"A year later, troops of Luther's adversary Charles V, Holy Roman Emperor entered the town, but were ordered by Charles not to disturb the grave."
3146,When did Li Tan lead a revolt?,He feared that his dependence on Chinese officials left him vulnerable to future revolts and defections to the Song.
3115,In what year was Roger II made king?,"From these bases, the Normans eventually captured Sicily and Malta from the Saracens, under the leadership of the famous Robert Guiscard, a Hauteville, and his younger brother Roger the Great Count."
899,When did the undergraduate program become coeducational?,The undergraduate college became coeducational after its 1977 merger with Radcliffe College.
2512,When was the drainage basin of the Amazon believed to have split in the middle of South America?,"Within the last 5–10 million years, this accumulating water broke through the Purus Arch, joining the easterly flow toward the Atlantic."
3114,Name a common autoimmune disease.,"Disorders of the immune system can result in autoimmune diseases, inflammatory diseases and cancer."
2568,What was Frensh military presence at start of war?,"At the start of the war, no French regular army troops were stationed in North America, and few British troops."
1436,What is to blame for the burdens in health care in Kenya?,"Preventable diseases like malaria, HIV/AIDS, pneumonia, diarrhoea and malnutrition are the biggest burden, major child-killers, and responsible for much morbidity; weak policies, corruption, inadequate health workers, weak management and poor leadership in the public health sector are largely to blame."
3289,In what year will the Barack Obama Presidential Center be finished?,"The university is also home to the University of Chicago Press, the largest university press in the United States."
876,How old was Chopin when he moved to Warsaw with his family?,"One of the most famous people born in Warsaw was Maria Skłodowska-Curie, who achieved international recognition for her research on radioactivity and was the first female recipient of the Nobel Prize."
3073,Who designed the Hereford Screen?,The master of wrought ironwork Jean Tijou is represented by both examples of his work and designs on paper.
1599,What has shortened the Rhine river?,"The river length is significantly shortened from the river's natural course due to number of canalisation projects completed in the 19th and 20th century.[note 7] The ""total length of the Rhine"", to the inclusion of Lake Constance and the Alpine Rhine is more difficult to measure objectively; it was cited as 1,232 kilometres (766 miles) by the Dutch Rijkswaterstaat in 2010.[note 1]"
958,What do a plant's chloroplasts descend from?,"Chloroplasts are a special type of a plant cell organelle called a plastid, though the two terms are sometimes used interchangeably."
